idx,#T,-RT ln Z,Z
400,-80,-43.7372,3.07503e+49
401,-80,-38.4387,3.10982e+43
402,-80,-47.1096,2.0122300000000003e+53
403,-80,-25.6224,9.80185e+28
404,-80,-20.0735,5.1615e+22
405,-80,-38.2212,1.76478e+43
406,-80,-36.5997,2.58214e+41
407,-80,-40.6926,1.1041700000000001e+46
408,-80,-32.2987,3.5110899999999996e+36
409,-80,-21.9721,7.26278e+24
410,-80,-43.3875,1.23641e+49
411,-80,-30.9312,9.95713e+34
412,-80,-50.9594,4.56714e+57
413,-80,-32.8313,1.4061400000000001e+37
414,-80,-51.0749,6.17178e+57
415,-80,-32.7957,1.28174e+37
416,-80,-40.2496,3.4810500000000004e+45
417,-80,-21.7083,3.65221e+24
418,-80,-48.0188,2.15036e+54
419,-80,-34.8688,2.84091e+39
420,-80,-33.6391,1.1536700000000002e+38
421,-80,-33.6762,1.27081e+38
422,-80,-34.8827,2.9455600000000004e+39
423,-80,-38.2325,1.8173700000000002e+43
424,-80,-47.5642,6.577060000000001e+53
425,-80,-47.9047,1.5972400000000003e+54
426,-80,-42.542,1.3662800000000001e+48
427,-80,-31.7618,8.66882e+35
428,-80,-22.8445,7.04983e+25
429,-80,-39.2959,2.9014700000000003e+44
430,-80,-14.4772,2.40278e+16
431,-80,-53.8734,9.054760000000001e+60
432,-80,-38.6129,4.89658e+43
433,-80,-44.766000000000005,4.4868300000000005e+50
434,-80,-36.6218,2.7351800000000002e+41
435,-80,-41.4,6.972130000000001e+46
436,-80,-45.4673,2.7888200000000002e+51
437,-80,-34.6743,1.7117300000000002e+39
438,-80,-38.1231,1.3666800000000002e+43
439,-80,-33.1578,3.29191e+37
440,-80,-28.8674,4.60249e+32
441,-80,-32.1784,2.5663e+36
442,-80,-38.9142,1.07325e+44
443,-80,-26.5044,9.75523e+29
444,-80,-49.3782,7.422420000000001e+55
445,-80,-30.0794,1.08229e+34
446,-80,-40.8088,1.49439e+46
447,-80,-36.2894,1.15041e+41
448,-80,-44.3267,1.42848e+50
449,-80,-25.0875,2.43274e+28
450,-80,-34.3865,8.08517e+38
451,-80,-21.4335,1.78491e+24
452,-80,-25.9077,2.06103e+29
453,-80,-18.2324,4.26226e+20
454,-80,-41.9779,3.14265e+47
455,-80,-20.8346,3.74951e+23
456,-80,-15.6415,4.99022e+17
457,-80,-31.5949,5.61199e+35
458,-80,-3.7663800000000003,18263.7
459,-80,-27.2438,6.69664e+30
460,-80,-31.5241,4.66662e+35
461,-80,-35.4635,1.3378e+40
462,-80,-27.374000000000002,9.4011e+30
463,-80,-28.9101,5.14431e+32
464,-80,-51.9345,5.79507e+58
465,-80,-37.5578,3.13306e+42
466,-80,-23.9118,1.13696e+27
467,-80,-24.3545,3.60327e+27
468,-80,-37.7025,4.5682000000000004e+42
469,-80,-36.7918,4.2583700000000004e+41
470,-80,-27.4206,1.06146e+31
